ledger_id,project_id,sap_cost_center,posting_date,gl_account,amount,doc_type,description,vendor,tax_code,gst_amount,_migration_flag
89,2,CC-MEL-02,2027-01-07,GL-6100,996950.66,INV,[VARIANCE] Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hickory Group,G11,99695.07,OK
90,2,CC-MEL-02,2027-04-06,GL-6300,83651.75,INV,Equipment & Plant Hire — Victorian Heart Hospital Ext.,Kennards Hire,G11,8365.18,OK
91,2,CC-MEL-02,2026-05-08,GL-6100,1111042.78,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Probuild Constructions,G11,111104.28,OK
92,2,CC-MEL-02,2027-04-17,GL-6200,249476.35,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Holcim Australia Pty Ltd,G11,24947.64,OK
93,2,CC-MEL-02,2027-02-19,GL-6200,610320.4,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Adbri Masonry,G11,61032.04,OK
94,2,CC-MEL-02,2026-12-17,GL-6100,213256.66,INV,[VARIANCE] Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hickory Group,G11,21325.67,OK
95,2,CC-MEL-02,2027-01-19,GL-6100,401050.0,INV,[VARIANCE] Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Built Environs,G11,39907.14,ROUNDING_DIFF
96,2,CC-MEL-02,2027-05-07,GL-6300,68426.74,INV,Equipment & Plant Hire — Victorian Heart Hospital Ext.,Tutt Bryant Equipment,G11,6842.67,OK
97,2,CC-MEL-02,2026-04-03,GL-6200,308829.99,INV,[VARIANCE] Raw Materials & Consumables — Victorian Heart Hospital Ext.,Hanson Construction Materials,G11,30883.0,OK
98,2,CC-MEL-02,2027-02-01,GL-6100,498771.91,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Buxton Construction,G11,49877.19,OK
99,2,CC-MEL-02,2026-06-06,GL-6200,207788.71,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,James Hardie Building Products,G11,20778.87,OK
100,2,CC-MEL-02,2026-04-29,GL-6200,497066.99,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Holcim Australia Pty Ltd,G11,49706.7,OK
101,2,CC-MEL-02,2026-07-05,GL-6200,279375.31,INV,[VARIANCE] Raw Materials & Consumables — Victorian Heart Hospital Ext.,CSR Building Products,G11,27937.53,OK
102,2,CC-MEL-02,2027-01-03,GL-6200,420417.0,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Saint-Gobain Placo,G11,42129.65,ROUNDING_DIFF
103,2,CC-MEL-02,2027-05-12,GL-6200,523961.7,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,CSR Building Products,G11,52396.17,OK
104,2,CC-MEL-02,2026-03-19,GL-6100,889518.73,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Cockram Constructions,G11,88951.87,OK
105,2,CC-MEL-02,2026-08-01,GL-6100,464890.15,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hacer Group,G11,46489.02,OK
106,2,CC-MEL-02,2027-01-16,GL-6100,628378.86,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hacer Group,G11,62837.89,OK
107,2,CC-MEL-02,2027-03-14,GL-6100,989180.54,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Probuild Constructions,G11,98918.05,OK
108,2,CC-MEL-02,2026-12-18,GL-6100,192339.11,INV,[VARIANCE] Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Buxton Construction,G11,19233.91,OK
109,2,CC-MEL-02,2026-03-15,GL-6200,754606.0,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Sika Australia,G11,75447.76,ROUNDING_DIFF
110,2,CC-MEL-02,2026-10-06,GL-6300,228687.02,INV,Equipment & Plant Hire — Victorian Heart Hospital Ext.,Coates Hire Operations,G11,22868.7,MISSING_IN_NEW
111,2,CC-MEL-02,2027-05-02,GL-6500,33525.95,INV,Regulatory Fees & Permit Costs — Victorian Heart Hospital Ext.,City of Melbourne Council,G12,0.0,OK
112,2,CC-MEL-02,2026-05-21,GL-6400,231014.29,INV,Professional & Consulting Fees — Victorian Heart Hospital Ext.,AECOM Australia Pty Ltd,G11,23101.43,OK
113,2,CC-MEL-02,2027-05-14,GL-6100,808118.34,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Buxton Construction,G11,80811.83,OK
114,2,CC-MEL-02,2027-01-18,GL-5100,1641547.65,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Hacer Group,G11,164154.77,GL_REMAP
115,2,CC-MEL-02,2027-04-16,GL-6500,18589.12,INV,Regulatory Fees & Permit Costs — Victorian Heart Hospital Ext.,Vic Department of Transport,G12,0.0,OK
116,2,CC-MEL-02,2026-10-10,GL-6100,361083.73,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Kapitol Group,G11,36108.37,OK
117,2,CC-MEL-02,2026-02-24,GL-6200,441361.42,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,CSR Building Products,G11,44136.14,OK
118,2,CC-MEL-02,2027-01-15,GL-6100,1102868.0,INV,Direct Labour & Subcontract Costs — Victorian Heart Hospital Ext.,Watpac Civil & Mining,G11,110286.8,MISSING_IN_NEW
119,2,CC-MEL-02,2027-05-20,GL-6200,433222.08,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,BlueScope Distribution,G11,43322.21,OK
120,2,CC-MEL-02,2027-02-07,GL-6200,161022.7,INV,Raw Materials & Consumables — Victorian Heart Hospital Ext.,Boral Construction Materials,G11,16102.27,OK
121,3,CC-MEL-03,2027-08-28,GL-6100,1071012.07,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Probuild Constructions,G11,107101.21,OK
122,3,CC-MEL-03,2027-05-25,GL-6100,856322.38,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Hickory Group,G11,85632.24,OK
123,3,CC-MEL-03,2027-03-22,GL-6200,632182.43,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Boral Construction Materials,G11,63218.24,OK
124,3,CC-MEL-03,2027-03-18,GL-6100,1125235.19,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Watpac Civil & Mining,G11,112523.52,OK
125,3,CC-MEL-03,2026-12-21,GL-6200,386867.69,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Sika Australia,G11,38686.77,OK
126,3,CC-MEL-03,2027-07-26,GL-6300,151588.34,INV,Equipment & Plant Hire — Southbank Precinct Tower C,Kennards Hire,G11,15158.83,OK
127,3,CC-MEL-03,2027-01-16,GL-6200,518082.0,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Holcim Australia Pty Ltd,G11,51808.2,OK
128,3,CC-MEL-03,2027-09-29,GL-6400,66563.18,INV,Professional & Consulting Fees — Southbank Precinct Tower C,Jacobs Engineering Group,G11,6656.32,OK
129,3,CC-MEL-03,2027-02-02,GL-6200,260196.47,INV,Raw Materials & Consumables — Southbank Precinct Tower C,James Hardie Building Products,G11,26019.65,OK
130,3,CC-MEL-03,2026-05-07,GL-6300,291955.27,INV,Equipment & Plant Hire — Southbank Precinct Tower C,Kennards Hire,G11,29195.53,OK
131,3,CC-MEL-03,2027-10-01,GL-5500,25512.65,INV,[VARIANCE] Regulatory Fees & Permit Costs — Southbank Precinct Tower C,Vic Department of Transport,G12,0.0,GL_REMAP
132,3,CC-MEL-03,2026-04-23,GL-5100,972697.06,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Cockram Constructions,G11,97269.71,GL_REMAP
133,3,CC-MEL-03,2027-01-04,GL-6200,645598.42,INV,[VARIANCE] Raw Materials & Consumables — Southbank Precinct Tower C,Boral Construction Materials,G11,64559.84,OK
134,3,CC-MEL-03,2027-01-27,GL-6200,645011.22,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Rebar Direct Pty Ltd,G11,64501.12,OK
135,3,CC-MEL-03,2026-08-03,GL-6100,693803.79,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Kapitol Group,G11,69380.38,OK
136,3,CC-MEL-03,2027-08-23,GL-6300,68217.11,INV,Equipment & Plant Hire — Southbank Precinct Tower C,Kennards Hire,G11,6821.71,OK
137,3,CC-MEL-03,2027-07-08,GL-6100,716527.47,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Hacer Group,G11,71652.75,OK
138,3,CC-MEL-03,2026-05-29,GL-6100,1195317.96,INV,[VARIANCE] Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Built Environs,G11,119531.8,OK
139,3,CC-MEL-03,2026-08-06,GL-6100,948047.71,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Hacer Group,G11,94804.77,OK
140,3,CC-MEL-03,2027-02-13,GL-6200,677661.91,INV,Raw Materials & Consumables — Southbank Precinct Tower C,BlueScope Distribution,G11,67766.19,OK
141,3,CC-MEL-03,2027-03-28,GL-6200,493364.48,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Saint-Gobain Placo,G11,49336.45,OK
142,3,CC-MEL-03,2027-07-20,GL-6200,252396.42,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Saint-Gobain Placo,G11,25239.64,OK
143,3,CC-MEL-03,2027-05-18,GL-6500,6354.53,INV,Regulatory Fees & Permit Costs — Southbank Precinct Tower C,Vic Department of Transport,G12,0.0,OK
144,3,CC-MEL-03,2027-09-05,GL-6200,544802.45,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Sika Australia,G11,54480.24,OK
145,3,CC-MEL-03,2027-01-15,GL-6200,577275.56,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Adbri Masonry,G11,57727.56,OK
146,3,CC-MEL-03,2027-09-20,GL-6100,778573.61,INV,[VARIANCE] Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Hickory Group,G11,77857.36,OK
147,3,CC-MEL-03,2026-10-20,GL-6100,1077691.75,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Kapitol Group,G11,107769.18,OK
148,3,CC-MEL-03,2026-06-25,GL-6100,717436.06,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Built Environs,G11,71743.61,OK
149,3,CC-MEL-03,2027-01-03,GL-6200,343864.64,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Rebar Direct Pty Ltd,G11,34386.46,OK
150,3,CC-MEL-03,2026-04-19,GL-6500,20150.17,INV,Regulatory Fees & Permit Costs — Southbank Precinct Tower C,City of Melbourne Council,G12,0.0,OK
151,3,CC-MEL-03,2026-12-31,GL-6100,550873.11,INV,Direct Labour & Subcontract Costs — Southbank Precinct Tower C,Cockram Constructions,G11,55087.31,OK
152,3,CC-MEL-03,2026-11-30,GL-6400,157624.37,INV,Professional & Consulting Fees — Southbank Precinct Tower C,Arcadis Australia Pacific,G11,15762.44,OK
153,3,CC-MEL-03,2026-06-19,GL-6500,2319.41,INV,Regulatory Fees & Permit Costs — Southbank Precinct Tower C,EPA Victoria,G12,0.0,OK
154,3,CC-MEL-03,2026-12-06,GL-6600,4487.64,INV,Travel & Accommodation — Southbank Precinct Tower C,FCm Travel Solutions,G11,448.76,OK
155,3,CC-MEL-03,2026-10-28,GL-5300,151066.37,INV,Equipment & Plant Hire — Southbank Precinct Tower C,All Cranes Hire & Sales,G11,15106.64,GL_REMAP
156,3,CC-MEL-03,2026-06-06,GL-6300,285903.45,INV,Equipment & Plant Hire — Southbank Precinct Tower C,All Cranes Hire & Sales,G11,28590.35,MISSING_IN_NEW
157,3,CC-MEL-03,2027-06-10,GL-6200,778223.73,INV,Raw Materials & Consumables — Southbank Precinct Tower C,BlueScope Distribution,G11,77822.37,OK
158,3,CC-MEL-03,2027-06-28,GL-6200,276458.33,INV,Raw Materials & Consumables — Southbank Precinct Tower C,Sika Australia,G11,27645.83,OK
